shortname,fullname,idnumber,category_idnumber,category_path,visible,format,numsections,enablecompletion,showgrades,showreports,groupmode,groupmodeforce,templatecourse,summary,tags
DPS-GSEB-GUJ-STD01-GEN-GUJ-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Gujarati - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-GUJ-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Gujarati course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,GUJ"
DPS-GSEB-GUJ-STD01-GEN-HIN-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Hindi - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-HIN-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Hindi course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,HIN"
DPS-GSEB-GUJ-STD01-GEN-ENG-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - English - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-ENG-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"English course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,ENG"
DPS-GSEB-GUJ-STD01-GEN-MATH-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Mathematics - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-MATH-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Mathematics course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,MATH"
DPS-GSEB-GUJ-STD01-GEN-EVS-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Environmental Studies - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-EVS-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Environmental Studies course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,EVS"
DPS-GSEB-GUJ-STD01-GEN-ART-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Art Education - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-ART-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Art Education course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,ART"
DPS-GSEB-GUJ-STD01-GEN-PE-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Physical Education - 2028-2029,DPS-GSEB-GUJ-STD01-GEN-PE-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD01_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 1 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Physical Education course for Standard 1 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD01,GEN,PE"
DPS-GSEB-GUJ-STD02-GEN-GUJ-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Gujarati - 2028-2029,DPS-GSEB-GUJ-STD02-GEN-GUJ-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 2 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Gujarati course for Standard 2 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD02,GEN,GUJ"
DPS-GSEB-GUJ-STD02-GEN-HIN-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Hindi - 2028-2029,DPS-GSEB-GUJ-STD02-GEN-HIN-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 2 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Hindi course for Standard 2 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD02,GEN,HIN"
DPS-GSEB-GUJ-STD02-GEN-ENG-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - English - 2028-2029,DPS-GSEB-GUJ-STD02-GEN-ENG-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 2 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"English course for Standard 2 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD02,GEN,ENG"
DPS-GSEB-GUJ-STD02-GEN-MATH-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Mathematics - 2028-2029,DPS-GSEB-GUJ-STD02-GEN-MATH-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 2 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Mathematics course for Standard 2 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD02,GEN,MATH"
DPS-GSEB-GUJ-STD02-GEN-EVS-28,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Environmental Studies - 2028-2029,DPS-GSEB-GUJ-STD02-GEN-EVS-2028,DRONA_TRUST_GSEB_DPS_2028_2029_GUJ_STD02_GEN,Drona Education Trust / Gujarat Board Education / Drona Public School / Academic Year 2028-2029 / Gujarati Medium / Standard 2 / GEN,1,topics,16,1,1,1,1,1,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,"Environmental Studies course for Standard 2 GEN Gujarati Medium in 2028-2029. Includes 10 chapter structure, term exams, final exam, completion rules and default certification.","DPS,GSEB,2028-2029,GUJ,STD02,GEN,EVS"
