academic_year,grade_code,minimum_attendance_percent,notes
2028-2029,STD01,75,Generated local testing attendance policy.
2028-2029,STD02,75,Generated local testing attendance policy.
2028-2029,STD03,75,Generated local testing attendance policy.
2028-2029,STD04,75,Generated local testing attendance policy.
2028-2029,STD05,75,Generated local testing attendance policy.
2028-2029,STD06,75,Generated local testing attendance policy.
2028-2029,STD07,75,Generated local testing attendance policy.
2028-2029,STD08,75,Generated local testing attendance policy.
2028-2029,STD09,75,Generated local testing attendance policy.
2028-2029,STD10,75,Generated local testing attendance policy.
2028-2029,STD11,75,Generated local testing attendance policy.
2028-2029,STD12,75,Generated local testing attendance policy.
