academic_year,grade_code,minimum_attendance_percent,notes
2027-2028,STD01,75,Generated local testing attendance policy.
2027-2028,STD02,75,Generated local testing attendance policy.
2027-2028,STD03,75,Generated local testing attendance policy.
2027-2028,STD04,75,Generated local testing attendance policy.
2027-2028,STD05,75,Generated local testing attendance policy.
2027-2028,STD06,75,Generated local testing attendance policy.
2027-2028,STD07,75,Generated local testing attendance policy.
2027-2028,STD08,75,Generated local testing attendance policy.
2027-2028,STD09,75,Generated local testing attendance policy.
2027-2028,STD10,75,Generated local testing attendance policy.
2027-2028,STD11,75,Generated local testing attendance policy.
2027-2028,STD12,75,Generated local testing attendance policy.
