course_shortname,course_code,course_fullname,template_code,templatecourse_shortname,academic_year,term,grade_code,grade_band,subject_code,stream_code,visible_after_creation,enablecompletion,apply_sections,apply_gradebook,apply_completion_defaults,certificate_policy_code,notes
DPS-GSEB-GUJ-STD01-GEN-GUJ-29,DPS-GSEB-GUJ-STD01-GEN-GUJ-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Gujarati - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,GUJ,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-HIN-29,DPS-GSEB-GUJ-STD01-GEN-HIN-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Hindi - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,HIN,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-ENG-29,DPS-GSEB-GUJ-STD01-GEN-ENG-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - English - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,ENG,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-MATH-29,DPS-GSEB-GUJ-STD01-GEN-MATH-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Mathematics - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,MATH,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-EVS-29,DPS-GSEB-GUJ-STD01-GEN-EVS-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Environmental Studies - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,EVS,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-ART-29,DPS-GSEB-GUJ-STD01-GEN-ART-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Art Education - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,ART,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD01-GEN-PE-29,DPS-GSEB-GUJ-STD01-GEN-PE-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Physical Education - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD01,G1-G2,PE,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD02-GEN-GUJ-29,DPS-GSEB-GUJ-STD02-GEN-GUJ-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Gujarati - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD02,G1-G2,GUJ,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD02-GEN-HIN-29,DPS-GSEB-GUJ-STD02-GEN-HIN-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Hindi - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD02,G1-G2,HIN,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
DPS-GSEB-GUJ-STD02-GEN-ENG-29,DPS-GSEB-GUJ-STD02-GEN-ENG-2029,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - English - 2029-2030,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2029-2030,Academic Year 2029-2030,STD02,G1-G2,ENG,GEN,0,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Review course content before publishing.
