course_shortname,course_code,course_fullname,template_code,templatecourse_shortname,academic_year,term,grade_code,grade_band,subject_code,stream_code,visible_after_creation,enablecompletion,apply_sections,apply_gradebook,apply_completion_defaults,certificate_policy_code,notes
DPS-GSEB-GUJ-STD01-GEN-GUJ-27,DPS-GSEB-GUJ-STD01-GEN-GUJ-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Gujarati - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,GUJ,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-HIN-27,DPS-GSEB-GUJ-STD01-GEN-HIN-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Hindi - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,HIN,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-ENG-27,DPS-GSEB-GUJ-STD01-GEN-ENG-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - English - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,ENG,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-MATH-27,DPS-GSEB-GUJ-STD01-GEN-MATH-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Mathematics - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,MATH,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-EVS-27,DPS-GSEB-GUJ-STD01-GEN-EVS-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Environmental Studies - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,EVS,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-ART-27,DPS-GSEB-GUJ-STD01-GEN-ART-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Art Education - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,ART,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD01-GEN-PE-27,DPS-GSEB-GUJ-STD01-GEN-PE-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 1 - GEN - Physical Education - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD01,G1-G2,PE,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD02-GEN-GUJ-27,DPS-GSEB-GUJ-STD02-GEN-GUJ-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Gujarati - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD02,G1-G2,GUJ,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD02-GEN-HIN-27,DPS-GSEB-GUJ-STD02-GEN-HIN-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - Hindi - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD02,G1-G2,HIN,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
DPS-GSEB-GUJ-STD02-GEN-ENG-27,DPS-GSEB-GUJ-STD02-GEN-ENG-2027,Drona Public School - Gujarat Board Education - Gujarati Medium - Standard 2 - GEN - English - 2027-2028,MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,MASTER-ALL-GRADES-ALL-SUBJECTS-STD-TEMPLATE,2027-2028,Academic Year 2027-2028,STD02,G1-G2,ENG,GEN,1,1,1,1,1,PRIMARY_COURSE_COMPLETION_BADGE,Certification enabled by default. Visible by default for demo and student dashboard access.
