academic_year,grade_code,minimum_attendance_percent,notes
2026-2027,STD01,75,Generated local testing attendance policy.
2026-2027,STD02,75,Generated local testing attendance policy.
2026-2027,STD03,75,Generated local testing attendance policy.
2026-2027,STD04,75,Generated local testing attendance policy.
2026-2027,STD05,75,Generated local testing attendance policy.
2026-2027,STD06,75,Generated local testing attendance policy.
2026-2027,STD07,75,Generated local testing attendance policy.
2026-2027,STD08,75,Generated local testing attendance policy.
2026-2027,STD09,75,Generated local testing attendance policy.
2026-2027,STD10,75,Generated local testing attendance policy.
2026-2027,STD11,75,Generated local testing attendance policy.
2026-2027,STD12,75,Generated local testing attendance policy.
